sale_id,sku,size,sale_date,quantity_sold,retail_price,sale_price,sale_type
S-00051,30-30-000003-0-10,8.5,2024-02-08,1,150.00,150.00,full_price
S-00052,30-30-000003-0-10,9,2024-02-08,1,150.00,150.00,full_price
S-00053,30-30-000003-0-10,9.5,2024-02-08,1,150.00,150.00,full_price
S-00054,30-30-000003-0-10,9.5,2024-04-02,1,150.00,150.00,full_price
S-00055,30-30-000003-0-10,9.5,2024-05-28,1,150.00,150.00,full_price
S-00056,30-30-000003-0-10,10,2024-02-08,1,150.00,150.00,full_price
S-00057,30-30-000003-0-10,10,2024-03-06,1,150.00,150.00,full_price
S-00058,30-30-000003-0-10,10,2024-04-04,1,150.00,150.00,full_price
S-00059,30-30-000003-0-10,10,2024-04-03,1,150.00,150.00,full_price
S-00060,30-30-000003-0-10,10,2024-05-04,1,150.00,150.00,full_price
S-00061,30-30-000003-0-10,10,2024-06-11,1,150.00,113.75,markdown
S-00062,30-30-000003-0-10,10.5,2024-02-08,1,150.00,150.00,full_price
S-00063,30-30-000003-0-10,10.5,2024-03-04,1,150.00,150.00,full_price
S-00064,30-30-000003-0-10,10.5,2024-04-03,1,150.00,150.00,full_price
S-00065,30-30-000003-0-10,10.5,2024-04-27,1,150.00,150.00,full_price
S-00066,30-30-000003-0-10,10.5,2024-05-31,1,150.00,150.00,full_price
S-00067,30-30-000003-0-10,10.5,2024-06-15,1,150.00,119.31,markdown
S-00068,30-30-000003-0-10,11,2024-02-08,1,150.00,150.00,full_price
S-00069,30-30-000003-0-10,11,2024-03-02,1,150.00,150.00,full_price
S-00070,30-30-000003-0-10,11,2024-03-31,1,150.00,150.00,full_price
S-00071,30-30-000003-0-10,11,2024-04-20,1,150.00,150.00,full_price
S-00072,30-30-000003-0-10,11,2024-05-26,1,150.00,107.27,markdown
S-00073,30-30-000003-0-10,11.5,2024-02-08,1,150.00,150.00,full_price
S-00074,30-30-000003-0-10,11.5,2024-04-12,1,150.00,150.00,full_price
S-00075,30-30-000003-0-10,12,2024-02-08,1,150.00,150.00,full_price
S-00076,30-30-000003-0-10,13,2024-02-08,1,150.00,150.00,full_price
S-00077,30-30-000003-0-10,15,2024-02-08,1,150.00,150.00,full_price
S-00078,30-30-000004-0-10,8,2024-01-14,1,120.00,120.00,full_price
S-00079,30-30-000004-0-10,8.5,2024-01-14,1,120.00,120.00,full_price
S-00080,30-30-000004-0-10,9,2024-01-14,1,120.00,120.00,full_price
S-00081,30-30-000004-0-10,9,2024-03-18,1,120.00,120.00,full_price
S-00082,30-30-000004-0-10,9.5,2024-01-14,1,120.00,120.00,full_price
S-00083,30-30-000004-0-10,9.5,2024-02-14,1,120.00,120.00,full_price
S-00084,30-30-000004-0-10,9.5,2024-03-04,1,120.00,120.00,full_price
S-00085,30-30-000004-0-10,9.5,2024-04-05,1,120.00,120.00,full_price
S-00086,30-30-000004-0-10,9.5,2024-04-10,1,120.00,120.00,full_price
S-00087,30-30-000004-0-10,10,2024-01-14,1,120.00,120.00,full_price
S-00088,30-30-000004-0-10,10,2024-02-02,1,120.00,120.00,full_price
S-00089,30-30-000004-0-10,10,2024-02-21,1,120.00,120.00,full_price
S-00090,30-30-000004-0-10,10,2024-03-11,1,120.00,120.00,full_price
S-00091,30-30-000004-0-10,10,2024-03-25,1,120.00,120.00,full_price
S-00092,30-30-000004-0-10,10,2024-04-13,1,120.00,120.00,full_price
S-00093,30-30-000004-0-10,10,2024-05-26,1,120.00,120.00,full_price
S-00094,30-30-000004-0-10,10,2024-04-19,1,120.00,120.00,full_price
S-00095,30-30-000004-0-10,10.5,2024-01-14,1,120.00,120.00,full_price
S-00096,30-30-000004-0-10,10.5,2024-01-29,1,120.00,120.00,full_price
S-00097,30-30-000004-0-10,10.5,2024-02-25,1,120.00,120.00,full_price
S-00098,30-30-000004-0-10,10.5,2024-02-26,1,120.00,120.00,full_price
S-00099,30-30-000004-0-10,10.5,2024-03-14,1,120.00,120.00,full_price
S-00100,30-30-000004-0-10,10.5,2024-04-13,1,120.00,120.00,full_price
S-00101,30-30-000004-0-10,10.5,2024-04-04,1,120.00,120.00,full_price
S-00102,30-30-000004-0-10,10.5,2024-06-14,1,120.00,120.00,full_price
S-00103,30-30-000004-0-10,11,2024-01-14,1,120.00,120.00,full_price
S-00104,30-30-000004-0-10,11,2024-01-31,1,120.00,120.00,full_price
S-00105,30-30-000004-0-10,11,2024-02-18,1,120.00,120.00,full_price
S-00106,30-30-000004-0-10,11,2024-03-24,1,120.00,120.00,full_price
S-00107,30-30-000004-0-10,11,2024-04-15,1,120.00,120.00,full_price
S-00108,30-30-000004-0-10,11,2024-04-22,1,120.00,120.00,full_price
S-00109,30-30-000004-0-10,11,2024-06-13,1,120.00,120.00,full_price
S-00110,30-30-000004-0-10,11.5,2024-01-14,1,120.00,120.00,full_price
S-00111,30-30-000004-0-10,11.5,2024-02-16,1,120.00,120.00,full_price
S-00112,30-30-000004-0-10,11.5,2024-03-31,1,120.00,120.00,full_price
S-00113,30-30-000004-0-10,11.5,2024-04-24,1,120.00,120.00,full_price
S-00114,30-30-000004-0-10,12,2024-01-14,1,120.00,120.00,full_price
S-00115,30-30-000004-0-10,12,2024-04-02,1,120.00,120.00,full_price
S-00116,30-30-000004-0-10,13,2024-01-14,1,120.00,120.00,full_price
S-00117,30-30-000004-0-10,13,2024-03-13,1,120.00,120.00,full_price
S-00118,30-30-000005-0-10,7.5,2024-02-20,1,140.00,140.00,full_price
S-00119,30-30-000005-0-10,8,2024-02-20,1,140.00,140.00,full_price
S-00120,30-30-000005-0-10,8.5,2024-02-20,1,140.00,140.00,full_price
S-00121,30-30-000005-0-10,9,2024-02-20,1,140.00,140.00,full_price
S-00122,30-30-000005-0-10,9,2024-05-13,1,140.00,140.00,full_price
S-00123,30-30-000005-0-10,9.5,2024-02-20,1,140.00,140.00,full_price
S-00124,30-30-000005-0-10,9.5,2024-03-29,1,140.00,140.00,full_price
S-00125,30-30-000005-0-10,9.5,2024-06-12,1,140.00,140.00,full_price
S-00126,30-30-000005-0-10,10,2024-02-20,1,140.00,140.00,full_price
S-00127,30-30-000005-0-10,10,2024-03-11,1,140.00,140.00,full_price
S-00128,30-30-000005-0-10,10,2024-04-14,1,140.00,140.00,full_price
S-00129,30-30-000005-0-10,10,2024-05-13,1,140.00,140.00,full_price
S-00130,30-30-000005-0-10,10,2024-06-16,1,140.00,140.00,full_price
S-00131,30-30-000005-0-10,10,2024-05-24,1,140.00,105.88,markdown
S-00132,30-30-000005-0-10,10.5,2024-02-20,1,140.00,140.00,full_price
S-00133,30-30-000005-0-10,10.5,2024-03-10,1,140.00,140.00,full_price
S-00134,30-30-000005-0-10,10.5,2024-04-16,1,140.00,140.00,full_price
S-00135,30-30-000005-0-10,10.5,2024-04-26,1,140.00,140.00,full_price
S-00136,30-30-000005-0-10,10.5,2024-05-03,1,140.00,140.00,full_price
S-00137,30-30-000005-0-10,10.5,2024-06-16,1,140.00,105.18,markdown
S-00138,30-30-000005-0-10,11,2024-02-20,1,140.00,140.00,full_price
S-00139,30-30-000005-0-10,11,2024-03-16,1,140.00,140.00,full_price
S-00140,30-30-000005-0-10,11,2024-04-15,1,140.00,140.00,full_price
S-00141,30-30-000005-0-10,11,2024-04-29,1,140.00,140.00,full_price
S-00142,30-30-000005-0-10,11,2024-06-30,1,140.00,99.45,markdown
S-00143,30-30-000005-0-10,11.5,2024-02-20,1,140.00,140.00,full_price
S-00144,30-30-000005-0-10,11.5,2024-05-05,1,140.00,140.00,full_price
S-00145,30-30-000005-0-10,12,2024-02-20,1,140.00,140.00,full_price
S-00146,30-30-000005-0-10,12,2024-05-19,1,140.00,140.00,full_price
S-00147,30-30-000005-0-10,13,2024-02-20,1,140.00,140.00,full_price
S-00148,30-30-000005-0-10,14,2024-02-20,1,140.00,140.00,full_price
S-00149,30-30-000007-0-10,7.5,2024-01-29,1,70.00,70.00,full_price
S-00150,30-30-000007-0-10,8,2024-01-29,1,70.00,70.00,full_price
S-00151,30-30-000007-0-10,8.5,2024-01-29,1,70.00,70.00,full_price
S-00152,30-30-000007-0-10,9,2024-01-29,1,70.00,70.00,full_price
S-00153,30-30-000007-0-10,9,2024-04-22,1,70.00,70.00,full_price
S-00154,30-30-000007-0-10,9.5,2024-01-29,1,70.00,70.00,full_price
S-00155,30-30-000007-0-10,9.5,2024-03-28,1,70.00,70.00,full_price
S-00156,30-30-000007-0-10,9.5,2024-05-14,1,70.00,70.00,full_price
S-00157,30-30-000007-0-10,10,2024-01-29,1,70.00,70.00,full_price
S-00158,30-30-000007-0-10,10,2024-02-19,1,70.00,70.00,full_price
S-00159,30-30-000007-0-10,10,2024-03-13,1,70.00,70.00,full_price
S-00160,30-30-000007-0-10,10,2024-03-30,1,70.00,70.00,full_price
S-00161,30-30-000007-0-10,10,2024-04-25,1,70.00,70.00,full_price
S-00162,30-30-000007-0-10,10,2024-05-20,1,70.00,58.47,markdown
S-00163,30-30-000007-0-10,10.5,2024-01-29,1,70.00,70.00,full_price
S-00164,30-30-000007-0-10,10.5,2024-02-21,1,70.00,70.00,full_price
S-00165,30-30-000007-0-10,10.5,2024-03-16,1,70.00,70.00,full_price
S-00166,30-30-000007-0-10,10.5,2024-04-03,1,70.00,70.00,full_price
S-00167,30-30-000007-0-10,10.5,2024-05-13,1,70.00,70.00,full_price
S-00168,30-30-000007-0-10,10.5,2024-06-22,1,70.00,53.59,markdown
S-00169,30-30-000007-0-10,11,2024-01-29,1,70.00,70.00,full_price
S-00170,30-30-000007-0-10,11,2024-02-25,1,70.00,70.00,full_price
S-00171,30-30-000007-0-10,11,2024-03-17,1,70.00,70.00,full_price
S-00172,30-30-000007-0-10,11,2024-04-04,1,70.00,70.00,full_price
S-00173,30-30-000007-0-10,11,2024-04-26,1,70.00,55.95,markdown
S-00174,30-30-000007-0-10,11.5,2024-01-29,1,70.00,70.00,full_price
S-00175,30-30-000007-0-10,11.5,2024-03-25,1,70.00,70.00,full_price
S-00176,30-30-000007-0-10,11.5,2024-04-29,1,70.00,70.00,full_price
S-00177,30-30-000007-0-10,12,2024-01-29,1,70.00,70.00,full_price
S-00178,30-30-000007-0-10,12,2024-03-11,1,70.00,70.00,full_price
S-00179,30-30-000007-0-10,12,2024-04-12,1,70.00,70.00,full_price
S-00180,30-30-000007-0-10,13,2024-01-29,1,70.00,70.00,full_price
S-00181,30-30-000007-0-10,14,2024-01-29,1,70.00,70.00,full_price
S-00182,30-30-000009-0-10,9.5,2024-04-22,1,140.00,115.87,markdown
S-00183,30-30-000009-0-10,10,2024-04-22,1,140.00,113.26,markdown
S-00184,30-30-000009-0-10,10.5,2024-04-22,1,140.00,110.09,markdown
S-00185,30-30-000009-0-10,11,2024-04-22,1,140.00,108.54,markdown
S-00186,30-25-000010-0-10,9,2024-02-12,1,80.00,80.00,full_price
S-00187,30-25-000010-0-10,9.5,2024-02-12,1,80.00,80.00,full_price
S-00188,30-25-000010-0-10,10,2024-02-12,1,80.00,80.00,full_price
S-00189,30-25-000010-0-10,10,2024-03-30,1,80.00,80.00,full_price
S-00190,30-25-000010-0-10,10,2024-05-05,1,80.00,80.00,full_price
S-00191,30-25-000010-0-10,10.5,2024-02-12,1,80.00,80.00,full_price
S-00192,30-25-000010-0-10,10.5,2024-03-23,1,80.00,80.00,full_price
S-00193,30-25-000010-0-10,10.5,2024-05-20,1,80.00,80.00,full_price
S-00194,30-25-000010-0-10,11,2024-02-12,1,80.00,80.00,full_price
S-00195,30-25-000010-0-10,11,2024-05-12,1,80.00,80.00,full_price
S-00196,30-25-000010-0-10,11.5,2024-02-12,1,80.00,80.00,full_price
S-00197,30-25-000010-0-10,11.5,2024-04-23,1,80.00,80.00,full_price
S-00198,30-25-000010-0-10,12,2024-02-12,1,80.00,80.00,full_price
S-00199,30-25-000010-0-10,12,2024-04-24,1,80.00,80.00,full_price
S-00200,30-25-000010-0-10,13,2024-02-12,1,80.00,80.00,full_price
S-00201,30-20-000011-0-10,8.5,2024-02-05,1,190.00,190.00,full_price
S-00202,30-20-000011-0-10,9,2024-02-05,1,190.00,190.00,full_price
S-00203,30-20-000011-0-10,9.5,2024-02-05,1,190.00,190.00,full_price
S-00204,30-20-000011-0-10,9.5,2024-04-11,1,190.00,190.00,full_price
S-00205,30-20-000011-0-10,10,2024-02-05,1,190.00,190.00,full_price
S-00206,30-20-000011-0-10,10,2024-03-21,1,190.00,190.00,full_price
S-00207,30-20-000011-0-10,10,2024-05-13,1,190.00,190.00,full_price
S-00208,30-20-000011-0-10,10.5,2024-02-05,1,190.00,190.00,full_price
S-00209,30-20-000011-0-10,10.5,2024-03-26,1,190.00,190.00,full_price
S-00210,30-20-000011-0-10,10.5,2024-05-30,1,190.00,190.00,full_price
S-00211,30-20-000011-0-10,11,2024-02-05,1,190.00,190.00,full_price
S-00212,30-20-000011-0-10,11,2024-04-06,1,190.00,190.00,full_price
S-00213,30-20-000011-0-10,11.5,2024-02-05,1,190.00,190.00,full_price
S-00214,30-20-000011-0-10,11.5,2024-04-19,1,190.00,190.00,full_price
S-00215,30-20-000011-0-10,12,2024-02-05,1,190.00,190.00,full_price
S-00216,30-20-000011-0-10,13,2024-02-05,1,190.00,190.00,full_price
S-00217,30-20-000011-0-10,14,2024-02-05,1,190.00,190.00,full_price
S-00218,30-25-000012-0-10,8,2024-01-16,1,90.00,90.00,full_price
S-00219,30-25-000012-0-10,8.5,2024-01-16,1,90.00,90.00,full_price
S-00220,30-25-000012-0-10,8.5,2024-04-11,1,90.00,90.00,full_price
S-00221,30-25-000012-0-10,9,2024-01-16,1,90.00,90.00,full_price
S-00222,30-25-000012-0-10,9,2024-03-10,1,90.00,90.00,full_price
S-00223,30-25-000012-0-10,9,2024-03-30,1,90.00,90.00,full_price
S-00224,30-25-000012-0-10,9.5,2024-01-16,1,90.00,90.00,full_price
S-00225,30-25-000012-0-10,9.5,2024-02-13,1,90.00,90.00,full_price
S-00226,30-25-000012-0-10,9.5,2024-03-21,1,90.00,90.00,full_price
S-00227,30-25-000012-0-10,9.5,2024-04-10,1,90.00,90.00,full_price
S-00228,30-25-000012-0-10,9.5,2024-05-05,1,90.00,90.00,full_price
S-00229,30-25-000012-0-10,10,2024-01-16,1,90.00,90.00,full_price
S-00230,30-25-000012-0-10,10,2024-02-02,1,90.00,90.00,full_price
S-00231,30-25-000012-0-10,10,2024-02-12,1,90.00,90.00,full_price
S-00232,30-25-000012-0-10,10,2024-02-26,1,90.00,90.00,full_price
S-00233,30-25-000012-0-10,10,2024-03-12,1,90.00,90.00,full_price
S-00234,30-25-000012-0-10,10,2024-04-14,1,90.00,90.00,full_price
S-00235,30-25-000012-0-10,10,2024-04-01,1,90.00,90.00,full_price
S-00236,30-25-000012-0-10,10,2024-05-18,1,90.00,90.00,full_price
S-00237,30-25-000012-0-10,10,2024-05-02,1,90.00,90.00,full_price
S-00238,30-25-000012-0-10,10,2024-05-01,1,90.00,90.00,full_price
S-00239,30-25-000012-0-10,10.5,2024-01-16,1,90.00,90.00,full_price
S-00240,30-25-000012-0-10,10.5,2024-02-01,1,90.00,90.00,full_price
S-00241,30-25-000012-0-10,10.5,2024-02-19,1,90.00,90.00,full_price
S-00242,30-25-000012-0-10,10.5,2024-02-25,1,90.00,90.00,full_price
S-00243,30-25-000012-0-10,10.5,2024-03-12,1,90.00,90.00,full_price
S-00244,30-25-000012-0-10,10.5,2024-03-29,1,90.00,90.00,full_price
S-00245,30-25-000012-0-10,10.5,2024-03-27,1,90.00,90.00,full_price
S-00246,30-25-000012-0-10,10.5,2024-05-15,1,90.00,90.00,full_price
S-00247,30-25-000012-0-10,10.5,2024-05-28,1,90.00,90.00,full_price
S-00248,30-25-000012-0-10,10.5,2024-05-29,1,90.00,90.00,full_price
S-00249,30-25-000012-0-10,11,2024-01-16,1,90.00,90.00,full_price
S-00250,30-25-000012-0-10,11,2024-02-02,1,90.00,90.00,full_price
S-00251,30-25-000012-0-10,11,2024-02-29,1,90.00,90.00,full_price
S-00252,30-25-000012-0-10,11,2024-03-21,1,90.00,90.00,full_price
S-00253,30-25-000012-0-10,11,2024-04-02,1,90.00,90.00,full_price
S-00254,30-25-000012-0-10,11,2024-04-26,1,90.00,90.00,full_price
S-00255,30-25-000012-0-10,11,2024-05-14,1,90.00,90.00,full_price
S-00256,30-25-000012-0-10,11,2024-05-23,1,90.00,90.00,full_price
S-00257,30-25-000012-0-10,11.5,2024-01-16,1,90.00,90.00,full_price
S-00258,30-25-000012-0-10,11.5,2024-02-29,1,90.00,90.00,full_price
S-00259,30-25-000012-0-10,11.5,2024-03-16,1,90.00,90.00,full_price
S-00260,30-25-000012-0-10,11.5,2024-04-10,1,90.00,90.00,full_price
S-00261,30-25-000012-0-10,12,2024-01-16,1,90.00,90.00,full_price
S-00262,30-25-000012-0-10,12,2024-02-28,1,90.00,90.00,full_price
S-00263,30-25-000012-0-10,12,2024-04-13,1,90.00,90.00,full_price
S-00264,30-25-000012-0-10,12,2024-04-19,1,90.00,90.00,full_price
S-00265,30-25-000012-0-10,13,2024-01-16,1,90.00,90.00,full_price
S-00266,30-25-000012-0-10,13,2024-04-05,1,90.00,90.00,full_price
S-00267,30-25-000012-0-10,15,2024-01-16,1,90.00,90.00,full_price
S-00268,30-30-000014-0-10,8.5,2024-03-18,1,110.00,110.00,full_price
S-00269,30-30-000014-0-10,9.5,2024-03-18,1,110.00,110.00,full_price
S-00270,30-30-000014-0-10,10,2024-03-18,1,110.00,110.00,full_price
S-00271,30-30-000014-0-10,10,2024-05-14,1,110.00,84.70,markdown
S-00272,30-30-000014-0-10,10.5,2024-03-18,1,110.00,110.00,full_price
S-00273,30-30-000014-0-10,10.5,2024-06-11,1,110.00,88.65,markdown
S-00274,30-30-000014-0-10,11,2024-03-18,1,110.00,110.00,full_price
S-00275,30-30-000014-0-10,11,2024-06-01,1,110.00,83.89,markdown
S-00276,30-30-000014-0-10,11.5,2024-03-18,1,110.00,110.00,full_price
S-00277,30-40-000015-0-10,9,2024-03-20,1,130.00,130.00,full_price
S-00278,30-40-000015-0-10,9.5,2024-03-20,1,130.00,130.00,full_price
S-00279,30-40-000015-0-10,10,2024-03-20,1,130.00,130.00,full_price
S-00280,30-40-000015-0-10,10,2024-06-15,1,130.00,91.69,markdown
S-00281,30-40-000015-0-10,10.5,2024-03-20,1,130.00,130.00,full_price
S-00282,30-40-000015-0-10,10.5,2024-06-09,1,130.00,108.84,markdown
S-00283,30-40-000015-0-10,11,2024-03-20,1,130.00,130.00,full_price
S-00284,30-40-000015-0-10,11,2024-05-27,1,130.00,93.01,markdown
S-00285,30-40-000015-0-10,13,2024-03-20,1,130.00,130.00,full_price
S-00286,30-20-000016-0-10,10,2024-02-26,1,105.00,78.65,markdown
S-00287,30-20-000016-0-10,10.5,2024-02-26,1,105.00,80.66,markdown
S-00288,30-25-000017-0-10,9.5,2024-02-11,1,90.00,70.37,markdown
S-00289,30-25-000017-0-10,10,2024-02-11,1,90.00,71.36,markdown
S-00290,30-25-000017-0-10,10.5,2024-02-11,1,90.00,65.67,markdown
S-00291,30-25-000017-0-10,11,2024-02-11,1,90.00,63.64,markdown
S-00292,30-30-000018-0-10,9,2024-01-29,1,165.00,165.00,full_price
S-00293,30-30-000018-0-10,9,2024-04-02,1,165.00,165.00,full_price
S-00294,30-30-000018-0-10,9.5,2024-01-29,1,165.00,165.00,full_price
S-00295,30-30-000018-0-10,9.5,2024-03-25,1,165.00,165.00,full_price
S-00296,30-30-000018-0-10,9.5,2024-04-26,1,165.00,165.00,full_price
S-00297,30-30-000018-0-10,10,2024-01-29,1,165.00,165.00,full_price
S-00298,30-30-000018-0-10,10,2024-02-21,1,165.00,165.00,full_price
S-00299,30-30-000018-0-10,10,2024-03-12,1,165.00,165.00,full_price
S-00300,30-30-000018-0-10,10,2024-03-24,1,165.00,165.00,full_price
S-00301,30-30-000018-0-10,10,2024-04-12,1,165.00,165.00,full_price
S-00302,30-30-000018-0-10,10,2024-06-01,1,165.00,132.48,markdown
S-00303,30-30-000018-0-10,10.5,2024-01-29,1,165.00,165.00,full_price
S-00304,30-30-000018-0-10,10.5,2024-02-24,1,165.00,165.00,full_price
S-00305,30-30-000018-0-10,10.5,2024-03-20,1,165.00,165.00,full_price
S-00306,30-30-000018-0-10,10.5,2024-04-22,1,165.00,165.00,full_price
S-00307,30-30-000018-0-10,10.5,2024-05-09,1,165.00,165.00,full_price
S-00308,30-30-000018-0-10,10.5,2024-05-10,1,165.00,115.74,markdown
S-00309,30-30-000018-0-10,11,2024-01-29,1,165.00,165.00,full_price
S-00310,30-30-000018-0-10,11,2024-03-04,1,165.00,165.00,full_price
S-00311,30-30-000018-0-10,11,2024-03-18,1,165.00,165.00,full_price
S-00312,30-30-000018-0-10,11,2024-04-21,1,165.00,165.00,full_price
S-00313,30-30-000018-0-10,11,2024-04-30,1,165.00,129.67,markdown
S-00314,30-30-000018-0-10,11.5,2024-01-29,1,165.00,165.00,full_price
S-00315,30-30-000018-0-10,11.5,2024-03-27,1,165.00,165.00,full_price
S-00316,30-30-000018-0-10,12,2024-01-29,1,165.00,165.00,full_price
S-00317,30-30-000018-0-10,12,2024-03-28,1,165.00,165.00,full_price
S-00318,30-20-000019-0-10,8,2024-03-03,1,105.00,105.00,full_price
S-00319,30-20-000019-0-10,9,2024-03-03,1,105.00,105.00,full_price
S-00320,30-20-000019-0-10,9.5,2024-03-03,1,105.00,105.00,full_price
S-00321,30-20-000019-0-10,10,2024-03-03,1,105.00,105.00,full_price
S-00322,30-20-000019-0-10,10,2024-05-02,1,105.00,105.00,full_price
S-00323,30-20-000019-0-10,10,2024-06-16,1,105.00,75.72,markdown
S-00324,30-20-000019-0-10,10.5,2024-03-03,1,105.00,105.00,full_price
S-00325,30-20-000019-0-10,10.5,2024-04-08,1,105.00,105.00,full_price
S-00326,30-20-000019-0-10,10.5,2024-05-17,1,105.00,82.11,markdown
S-00327,30-20-000019-0-10,11,2024-03-03,1,105.00,105.00,full_price
S-00328,30-20-000019-0-10,11,2024-05-24,1,105.00,83.98,markdown
S-00329,30-20-000019-0-10,11.5,2024-03-03,1,105.00,105.00,full_price
S-00330,30-40-000020-0-10,7.5,2024-01-12,1,100.00,100.00,full_price
S-00331,30-40-000020-0-10,8,2024-01-12,1,100.00,100.00,full_price
S-00332,30-40-000020-0-10,8.5,2024-01-12,1,100.00,100.00,full_price
S-00333,30-40-000020-0-10,8.5,2024-04-04,1,100.00,100.00,full_price
S-00334,30-40-000020-0-10,9,2024-01-12,1,100.00,100.00,full_price
S-00335,30-40-000020-0-10,9,2024-02-15,1,100.00,100.00,full_price
S-00336,30-40-000020-0-10,9,2024-03-26,1,100.00,100.00,full_price
S-00337,30-40-000020-0-10,9,2024-05-13,1,100.00,100.00,full_price
S-00338,30-40-000020-0-10,9.5,2024-01-12,1,100.00,100.00,full_price
S-00339,30-40-000020-0-10,9.5,2024-02-08,1,100.00,100.00,full_price
S-00340,30-40-000020-0-10,9.5,2024-03-10,1,100.00,100.00,full_price
S-00341,30-40-000020-0-10,9.5,2024-03-08,1,100.00,100.00,full_price
S-00342,30-40-000020-0-10,9.5,2024-04-27,1,100.00,100.00,full_price
S-00343,30-40-000020-0-10,9.5,2024-06-02,1,100.00,100.00,full_price
S-00344,30-40-000020-0-10,10,2024-01-12,1,100.00,100.00,full_price
S-00345,30-40-000020-0-10,10,2024-01-23,1,100.00,100.00,full_price
S-00346,30-40-000020-0-10,10,2024-02-14,1,100.00,100.00,full_price
S-00347,30-40-000020-0-10,10,2024-02-20,1,100.00,100.00,full_price
S-00348,30-40-000020-0-10,10,2024-03-19,1,100.00,100.00,full_price
S-00349,30-40-000020-0-10,10,2024-04-07,1,100.00,100.00,full_price
