receive_date,sku,vendor_style,brand_desc,department,sku_desc,vendor,size,units_received,retail_price
2024-03-01,30-40-000006-0-10,FZ9934-300,SAUCONY SHADOW 6000,LIFESTYLE,SHADOW 6000 PNK/WHT,SAUCONY,8.5,1,90.00
2024-03-01,30-40-000006-0-10,FZ9934-300,SAUCONY SHADOW 6000,LIFESTYLE,SHADOW 6000 PNK/WHT,SAUCONY,9,2,90.00
2024-03-01,30-40-000006-0-10,FZ9934-300,SAUCONY SHADOW 6000,LIFESTYLE,SHADOW 6000 PNK/WHT,SAUCONY,9.5,3,90.00
2024-03-01,30-40-000006-0-10,FZ9934-300,SAUCONY SHADOW 6000,LIFESTYLE,SHADOW 6000 PNK/WHT,SAUCONY,10,3,90.00
2024-03-01,30-40-000006-0-10,FZ9934-300,SAUCONY SHADOW 6000,LIFESTYLE,SHADOW 6000 PNK/WHT,SAUCONY,10.5,3,90.00
2024-03-01,30-40-000006-0-10,FZ9934-300,SAUCONY SHADOW 6000,LIFESTYLE,SHADOW 6000 PNK/WHT,SAUCONY,11,3,90.00
2024-03-01,30-40-000006-0-10,FZ9934-300,SAUCONY SHADOW 6000,LIFESTYLE,SHADOW 6000 PNK/WHT,SAUCONY,11.5,2,90.00
2024-03-01,30-40-000006-0-10,FZ9934-300,SAUCONY SHADOW 6000,LIFESTYLE,SHADOW 6000 PNK/WHT,SAUCONY,12,2,90.00
2024-03-01,30-40-000006-0-10,FZ9934-300,SAUCONY SHADOW 6000,LIFESTYLE,SHADOW 6000 PNK/WHT,SAUCONY,13,1,90.00
2024-03-01,30-40-000006-0-10,FZ9934-300,SAUCONY SHADOW 6000,LIFESTYLE,SHADOW 6000 PNK/WHT,SAUCONY,14,1,90.00
2024-03-01,30-40-000006-0-10,FZ9934-300,SAUCONY SHADOW 6000,LIFESTYLE,SHADOW 6000 PNK/WHT,SAUCONY,15,2,90.00
2024-01-29,30-30-000007-0-10,GX2245-263,NEW BALANCE FRESH FOAM ARISHI V4,RUNNING,FF ARISHI V4 NVY/WHT,NEW BALANCE,7.5,1,70.00
2024-01-29,30-30-000007-0-10,GX2245-263,NEW BALANCE FRESH FOAM ARISHI V4,RUNNING,FF ARISHI V4 NVY/WHT,NEW BALANCE,8,3,70.00
2024-01-29,30-30-000007-0-10,GX2245-263,NEW BALANCE FRESH FOAM ARISHI V4,RUNNING,FF ARISHI V4 NVY/WHT,NEW BALANCE,8.5,3,70.00
2024-01-29,30-30-000007-0-10,GX2245-263,NEW BALANCE FRESH FOAM ARISHI V4,RUNNING,FF ARISHI V4 NVY/WHT,NEW BALANCE,9,5,70.00
2024-01-29,30-30-000007-0-10,GX2245-263,NEW BALANCE FRESH FOAM ARISHI V4,RUNNING,FF ARISHI V4 NVY/WHT,NEW BALANCE,9.5,6,70.00
2024-01-29,30-30-000007-0-10,GX2245-263,NEW BALANCE FRESH FOAM ARISHI V4,RUNNING,FF ARISHI V4 NVY/WHT,NEW BALANCE,10,8,70.00
2024-01-29,30-30-000007-0-10,GX2245-263,NEW BALANCE FRESH FOAM ARISHI V4,RUNNING,FF ARISHI V4 NVY/WHT,NEW BALANCE,10.5,8,70.00
2024-01-29,30-30-000007-0-10,GX2245-263,NEW BALANCE FRESH FOAM ARISHI V4,RUNNING,FF ARISHI V4 NVY/WHT,NEW BALANCE,11,8,70.00
2024-01-29,30-30-000007-0-10,GX2245-263,NEW BALANCE FRESH FOAM ARISHI V4,RUNNING,FF ARISHI V4 NVY/WHT,NEW BALANCE,11.5,6,70.00
2024-01-29,30-30-000007-0-10,GX2245-263,NEW BALANCE FRESH FOAM ARISHI V4,RUNNING,FF ARISHI V4 NVY/WHT,NEW BALANCE,12,5,70.00
2024-01-29,30-30-000007-0-10,GX2245-263,NEW BALANCE FRESH FOAM ARISHI V4,RUNNING,FF ARISHI V4 NVY/WHT,NEW BALANCE,13,3,70.00
2024-01-29,30-30-000007-0-10,GX2245-263,NEW BALANCE FRESH FOAM ARISHI V4,RUNNING,FF ARISHI V4 NVY/WHT,NEW BALANCE,14,2,70.00
2024-01-29,30-30-000007-0-10,GX2245-263,NEW BALANCE FRESH FOAM ARISHI V4,RUNNING,FF ARISHI V4 NVY/WHT,NEW BALANCE,15,2,70.00
2024-03-28,30-30-000008-0-10,FZ2234-245,HOKA ARAHI 7,RUNNING,ARAHI 7 CRM/GLD,HOKA,7.5,1,140.00
2024-03-28,30-30-000008-0-10,FZ2234-245,HOKA ARAHI 7,RUNNING,ARAHI 7 CRM/GLD,HOKA,8,1,140.00
2024-03-28,30-30-000008-0-10,FZ2234-245,HOKA ARAHI 7,RUNNING,ARAHI 7 CRM/GLD,HOKA,8.5,1,140.00
2024-03-28,30-30-000008-0-10,FZ2234-245,HOKA ARAHI 7,RUNNING,ARAHI 7 CRM/GLD,HOKA,9,2,140.00
2024-03-28,30-30-000008-0-10,FZ2234-245,HOKA ARAHI 7,RUNNING,ARAHI 7 CRM/GLD,HOKA,9.5,2,140.00
2024-03-28,30-30-000008-0-10,FZ2234-245,HOKA ARAHI 7,RUNNING,ARAHI 7 CRM/GLD,HOKA,10,3,140.00
2024-03-28,30-30-000008-0-10,FZ2234-245,HOKA ARAHI 7,RUNNING,ARAHI 7 CRM/GLD,HOKA,10.5,3,140.00
2024-03-28,30-30-000008-0-10,FZ2234-245,HOKA ARAHI 7,RUNNING,ARAHI 7 CRM/GLD,HOKA,11,3,140.00
2024-03-28,30-30-000008-0-10,FZ2234-245,HOKA ARAHI 7,RUNNING,ARAHI 7 CRM/GLD,HOKA,11.5,2,140.00
2024-03-28,30-30-000008-0-10,FZ2234-245,HOKA ARAHI 7,RUNNING,ARAHI 7 CRM/GLD,HOKA,12,2,140.00
2024-03-28,30-30-000008-0-10,FZ2234-245,HOKA ARAHI 7,RUNNING,ARAHI 7 CRM/GLD,HOKA,13,1,140.00
2024-03-28,30-30-000008-0-10,FZ2234-245,HOKA ARAHI 7,RUNNING,ARAHI 7 CRM/GLD,HOKA,14,1,140.00
2024-03-28,30-30-000008-0-10,FZ2234-245,HOKA ARAHI 7,RUNNING,ARAHI 7 CRM/GLD,HOKA,15,1,140.00
2024-04-22,30-30-000009-0-10,GX8834-366,ON CLOUD 5,RUNNING,CLOUD 5 YLW/BLK,ON,7.5,1,140.00
2024-04-22,30-30-000009-0-10,GX8834-366,ON CLOUD 5,RUNNING,CLOUD 5 YLW/BLK,ON,8,1,140.00
2024-04-22,30-30-000009-0-10,GX8834-366,ON CLOUD 5,RUNNING,CLOUD 5 YLW/BLK,ON,8.5,1,140.00
2024-04-22,30-30-000009-0-10,GX8834-366,ON CLOUD 5,RUNNING,CLOUD 5 YLW/BLK,ON,9,2,140.00
2024-04-22,30-30-000009-0-10,GX8834-366,ON CLOUD 5,RUNNING,CLOUD 5 YLW/BLK,ON,9.5,3,140.00
2024-04-22,30-30-000009-0-10,GX8834-366,ON CLOUD 5,RUNNING,CLOUD 5 YLW/BLK,ON,10,4,140.00
2024-04-22,30-30-000009-0-10,GX8834-366,ON CLOUD 5,RUNNING,CLOUD 5 YLW/BLK,ON,10.5,4,140.00
2024-04-22,30-30-000009-0-10,GX8834-366,ON CLOUD 5,RUNNING,CLOUD 5 YLW/BLK,ON,11,3,140.00
2024-04-22,30-30-000009-0-10,GX8834-366,ON CLOUD 5,RUNNING,CLOUD 5 YLW/BLK,ON,11.5,2,140.00
2024-04-22,30-30-000009-0-10,GX8834-366,ON CLOUD 5,RUNNING,CLOUD 5 YLW/BLK,ON,12,2,140.00
2024-04-22,30-30-000009-0-10,GX8834-366,ON CLOUD 5,RUNNING,CLOUD 5 YLW/BLK,ON,13,1,140.00
2024-04-22,30-30-000009-0-10,GX8834-366,ON CLOUD 5,RUNNING,CLOUD 5 YLW/BLK,ON,14,1,140.00
2024-04-22,30-30-000009-0-10,GX8834-366,ON CLOUD 5,RUNNING,CLOUD 5 YLW/BLK,ON,15,1,140.00
2024-02-12,30-25-000010-0-10,FZ4411-157,NEW BALANCE DEFENDER,PERFORMANCE BASKETBALL,DEFENDER CBT/WHT,NEW BALANCE,7.5,1,80.00
2024-02-12,30-25-000010-0-10,FZ4411-157,NEW BALANCE DEFENDER,PERFORMANCE BASKETBALL,DEFENDER CBT/WHT,NEW BALANCE,8,2,80.00
2024-02-12,30-25-000010-0-10,FZ4411-157,NEW BALANCE DEFENDER,PERFORMANCE BASKETBALL,DEFENDER CBT/WHT,NEW BALANCE,8.5,2,80.00
2024-02-12,30-25-000010-0-10,FZ4411-157,NEW BALANCE DEFENDER,PERFORMANCE BASKETBALL,DEFENDER CBT/WHT,NEW BALANCE,9,3,80.00
2024-02-12,30-25-000010-0-10,FZ4411-157,NEW BALANCE DEFENDER,PERFORMANCE BASKETBALL,DEFENDER CBT/WHT,NEW BALANCE,9.5,4,80.00
2024-02-12,30-25-000010-0-10,FZ4411-157,NEW BALANCE DEFENDER,PERFORMANCE BASKETBALL,DEFENDER CBT/WHT,NEW BALANCE,10,5,80.00
2024-02-12,30-25-000010-0-10,FZ4411-157,NEW BALANCE DEFENDER,PERFORMANCE BASKETBALL,DEFENDER CBT/WHT,NEW BALANCE,10.5,5,80.00
2024-02-12,30-25-000010-0-10,FZ4411-157,NEW BALANCE DEFENDER,PERFORMANCE BASKETBALL,DEFENDER CBT/WHT,NEW BALANCE,11,5,80.00
2024-02-12,30-25-000010-0-10,FZ4411-157,NEW BALANCE DEFENDER,PERFORMANCE BASKETBALL,DEFENDER CBT/WHT,NEW BALANCE,11.5,3,80.00
2024-02-12,30-25-000010-0-10,FZ4411-157,NEW BALANCE DEFENDER,PERFORMANCE BASKETBALL,DEFENDER CBT/WHT,NEW BALANCE,12,3,80.00
2024-02-12,30-25-000010-0-10,FZ4411-157,NEW BALANCE DEFENDER,PERFORMANCE BASKETBALL,DEFENDER CBT/WHT,NEW BALANCE,13,2,80.00
2024-02-12,30-25-000010-0-10,FZ4411-157,NEW BALANCE DEFENDER,PERFORMANCE BASKETBALL,DEFENDER CBT/WHT,NEW BALANCE,14,1,80.00
2024-02-12,30-25-000010-0-10,FZ4411-157,NEW BALANCE DEFENDER,PERFORMANCE BASKETBALL,DEFENDER CBT/WHT,NEW BALANCE,15,1,80.00
2024-02-05,30-20-000011-0-10,DQ8426-337,NIKE AIR JORDAN 6 RETRO,RETRO BASKETBALL,AJ6 RETRO BRN/GLD,NIKE,7.5,1,190.00
2024-02-05,30-20-000011-0-10,DQ8426-337,NIKE AIR JORDAN 6 RETRO,RETRO BASKETBALL,AJ6 RETRO BRN/GLD,NIKE,8,2,190.00
2024-02-05,30-20-000011-0-10,DQ8426-337,NIKE AIR JORDAN 6 RETRO,RETRO BASKETBALL,AJ6 RETRO BRN/GLD,NIKE,8.5,3,190.00
2024-02-05,30-20-000011-0-10,DQ8426-337,NIKE AIR JORDAN 6 RETRO,RETRO BASKETBALL,AJ6 RETRO BRN/GLD,NIKE,9,4,190.00
2024-02-05,30-20-000011-0-10,DQ8426-337,NIKE AIR JORDAN 6 RETRO,RETRO BASKETBALL,AJ6 RETRO BRN/GLD,NIKE,9.5,5,190.00
2024-02-05,30-20-000011-0-10,DQ8426-337,NIKE AIR JORDAN 6 RETRO,RETRO BASKETBALL,AJ6 RETRO BRN/GLD,NIKE,10,6,190.00
2024-02-05,30-20-000011-0-10,DQ8426-337,NIKE AIR JORDAN 6 RETRO,RETRO BASKETBALL,AJ6 RETRO BRN/GLD,NIKE,10.5,6,190.00
2024-02-05,30-20-000011-0-10,DQ8426-337,NIKE AIR JORDAN 6 RETRO,RETRO BASKETBALL,AJ6 RETRO BRN/GLD,NIKE,11,6,190.00
2024-02-05,30-20-000011-0-10,DQ8426-337,NIKE AIR JORDAN 6 RETRO,RETRO BASKETBALL,AJ6 RETRO BRN/GLD,NIKE,11.5,4,190.00
2024-02-05,30-20-000011-0-10,DQ8426-337,NIKE AIR JORDAN 6 RETRO,RETRO BASKETBALL,AJ6 RETRO BRN/GLD,NIKE,12,4,190.00
2024-02-05,30-20-000011-0-10,DQ8426-337,NIKE AIR JORDAN 6 RETRO,RETRO BASKETBALL,AJ6 RETRO BRN/GLD,NIKE,13,3,190.00
2024-02-05,30-20-000011-0-10,DQ8426-337,NIKE AIR JORDAN 6 RETRO,RETRO BASKETBALL,AJ6 RETRO BRN/GLD,NIKE,14,2,190.00
2024-02-05,30-20-000011-0-10,DQ8426-337,NIKE AIR JORDAN 6 RETRO,RETRO BASKETBALL,AJ6 RETRO BRN/GLD,NIKE,15,1,190.00
2024-01-16,30-25-000012-0-10,HQ7701-180,ADIDAS EXHIBIT B,PERFORMANCE BASKETBALL,EXHIBIT B GRN/GLD,ADIDAS,7.5,2,90.00
2024-01-16,30-25-000012-0-10,HQ7701-180,ADIDAS EXHIBIT B,PERFORMANCE BASKETBALL,EXHIBIT B GRN/GLD,ADIDAS,8,3,90.00
2024-01-16,30-25-000012-0-10,HQ7701-180,ADIDAS EXHIBIT B,PERFORMANCE BASKETBALL,EXHIBIT B GRN/GLD,ADIDAS,8.5,4,90.00
2024-01-16,30-25-000012-0-10,HQ7701-180,ADIDAS EXHIBIT B,PERFORMANCE BASKETBALL,EXHIBIT B GRN/GLD,ADIDAS,9,6,90.00
2024-01-16,30-25-000012-0-10,HQ7701-180,ADIDAS EXHIBIT B,PERFORMANCE BASKETBALL,EXHIBIT B GRN/GLD,ADIDAS,9.5,7,90.00
2024-01-16,30-25-000012-0-10,HQ7701-180,ADIDAS EXHIBIT B,PERFORMANCE BASKETBALL,EXHIBIT B GRN/GLD,ADIDAS,10,10,90.00
2024-01-16,30-25-000012-0-10,HQ7701-180,ADIDAS EXHIBIT B,PERFORMANCE BASKETBALL,EXHIBIT B GRN/GLD,ADIDAS,10.5,10,90.00
2024-01-16,30-25-000012-0-10,HQ7701-180,ADIDAS EXHIBIT B,PERFORMANCE BASKETBALL,EXHIBIT B GRN/GLD,ADIDAS,11,9,90.00
2024-01-16,30-25-000012-0-10,HQ7701-180,ADIDAS EXHIBIT B,PERFORMANCE BASKETBALL,EXHIBIT B GRN/GLD,ADIDAS,11.5,6,90.00
2024-01-16,30-25-000012-0-10,HQ7701-180,ADIDAS EXHIBIT B,PERFORMANCE BASKETBALL,EXHIBIT B GRN/GLD,ADIDAS,12,6,90.00
2024-01-16,30-25-000012-0-10,HQ7701-180,ADIDAS EXHIBIT B,PERFORMANCE BASKETBALL,EXHIBIT B GRN/GLD,ADIDAS,13,4,90.00
2024-01-16,30-25-000012-0-10,HQ7701-180,ADIDAS EXHIBIT B,PERFORMANCE BASKETBALL,EXHIBIT B GRN/GLD,ADIDAS,14,2,90.00
2024-01-16,30-25-000012-0-10,HQ7701-180,ADIDAS EXHIBIT B,PERFORMANCE BASKETBALL,EXHIBIT B GRN/GLD,ADIDAS,15,1,90.00
2024-03-11,30-40-000013-0-10,FZ5808-467,NIKE DUNK LOW,LIFESTYLE,DUNK LOW BLK/WHT,NIKE,7.5,1,115.00
2024-03-11,30-40-000013-0-10,FZ5808-467,NIKE DUNK LOW,LIFESTYLE,DUNK LOW BLK/WHT,NIKE,8,1,115.00
2024-03-11,30-40-000013-0-10,FZ5808-467,NIKE DUNK LOW,LIFESTYLE,DUNK LOW BLK/WHT,NIKE,8.5,2,115.00
2024-03-11,30-40-000013-0-10,FZ5808-467,NIKE DUNK LOW,LIFESTYLE,DUNK LOW BLK/WHT,NIKE,9,2,115.00
2024-03-11,30-40-000013-0-10,FZ5808-467,NIKE DUNK LOW,LIFESTYLE,DUNK LOW BLK/WHT,NIKE,9.5,3,115.00
2024-03-11,30-40-000013-0-10,FZ5808-467,NIKE DUNK LOW,LIFESTYLE,DUNK LOW BLK/WHT,NIKE,10,4,115.00
2024-03-11,30-40-000013-0-10,FZ5808-467,NIKE DUNK LOW,LIFESTYLE,DUNK LOW BLK/WHT,NIKE,10.5,4,115.00
2024-03-11,30-40-000013-0-10,FZ5808-467,NIKE DUNK LOW,LIFESTYLE,DUNK LOW BLK/WHT,NIKE,11,4,115.00
2024-03-11,30-40-000013-0-10,FZ5808-467,NIKE DUNK LOW,LIFESTYLE,DUNK LOW BLK/WHT,NIKE,11.5,3,115.00
2024-03-11,30-40-000013-0-10,FZ5808-467,NIKE DUNK LOW,LIFESTYLE,DUNK LOW BLK/WHT,NIKE,12,2,115.00
2024-03-11,30-40-000013-0-10,FZ5808-467,NIKE DUNK LOW,LIFESTYLE,DUNK LOW BLK/WHT,NIKE,13,2,115.00
2024-03-11,30-40-000013-0-10,FZ5808-467,NIKE DUNK LOW,LIFESTYLE,DUNK LOW BLK/WHT,NIKE,14,1,115.00
2024-03-11,30-40-000013-0-10,FZ5808-467,NIKE DUNK LOW,LIFESTYLE,DUNK LOW BLK/WHT,NIKE,15,1,115.00
2024-03-18,30-30-000014-0-10,GX1123-350,SAUCONY KINVARA 14,RUNNING,KINVARA 14 CRM/GLD,SAUCONY,7.5,1,110.00
2024-03-18,30-30-000014-0-10,GX1123-350,SAUCONY KINVARA 14,RUNNING,KINVARA 14 CRM/GLD,SAUCONY,8,2,110.00
